filename,img_size,target,xmin,ymin,xmax,ymax,boxes,scores,original_filename,original_size
26dc41664_10132_18508.tiff,"(596, 661)",1,52.0938,449.2209,267.7596,596.0,"[52.0938, 449.2209, 267.7596, 596.0]",0.9937,26dc41664,"(38160, 42360)"
26dc41664_10132_3305.tiff,"(596, 661)",0,0.0,0.71216,84.987,59.238,"[0.0, 0.71216, 84.987, 59.238]",0.9623,26dc41664,"(38160, 42360)"
26dc41664_10728_15203.tiff,"(596, 661)",0,240.01,23.219,482.5,291.05,"[240.01, 23.219, 482.5, 291.05]",0.993,26dc41664,"(38160, 42360)"
26dc41664_10728_15203.tiff,"(596, 661)",1,245.33,430.65,473.06,596.0,"[245.33, 430.65, 473.06, 596.0]",0.9888,26dc41664,"(38160, 42360)"
26dc41664_10728_15864.tiff,"(596, 661)",0,320.99,200.51,565.28,434.78,"[320.99, 200.51, 565.28, 434.78]",0.9924,26dc41664,"(38160, 42360)"
26dc41664_10728_16525.tiff,"(596, 661)",0,305.82,0.0,543.64,106.62,"[305.82, 0.0, 543.64, 106.62]",0.9902,26dc41664,"(38160, 42360)"
26dc41664_10728_17186.tiff,"(596, 661)",0,52.005,155.84,230.15,332.15,"[52.005, 155.84, 230.15, 332.15]",0.9943,26dc41664,"(38160, 42360)"
26dc41664_10728_17186.tiff,"(596, 661)",1,223.91,333.81,413.3,500.67,"[223.91, 333.81, 413.3, 500.67]",0.9892,26dc41664,"(38160, 42360)"
26dc41664_10728_17847.tiff,"(596, 661)",0,77.744,8.0351,308.07,192.99,"[77.744, 8.0351, 308.07, 192.99]",0.9882,26dc41664,"(38160, 42360)"
26dc41664_10728_18508.tiff,"(596, 661)",0,253.8,1.6188,456.37,140.81,"[253.8, 1.6188, 456.37, 140.81]",0.9559,26dc41664,"(38160, 42360)"
26dc41664_10728_18508.tiff,"(596, 661)",1,67.003,0.078426,248.31,52.803,"[67.003, 0.078426, 248.31, 52.803]",0.9272,26dc41664,"(38160, 42360)"
26dc41664_10728_1983.tiff,"(596, 661)",0,631.54,236.23,660.79,417.95,"[631.54, 236.23, 660.79, 417.95]",0.9364,26dc41664,"(38160, 42360)"
26dc41664_10728_2644.tiff,"(596, 661)",0,0.0,0.6776,80.5725,90.4529,"[0.0, 0.6776, 80.5725, 90.4529]",0.9429,26dc41664,"(38160, 42360)"
26dc41664_11324_11898.tiff,"(596, 661)",0,626.6771,1.0388,660.2544,157.9726,"[626.6771, 1.0388, 660.2544, 157.9726]",0.9463,26dc41664,"(38160, 42360)"
26dc41664_11324_13220.tiff,"(596, 661)",0,261.87,17.379,481.92,293.33,"[261.87, 17.379, 481.92, 293.33]",0.9945,26dc41664,"(38160, 42360)"
26dc41664_11324_14542.tiff,"(596, 661)",0,0.0,275.76,184.97,527.05,"[0.0, 275.76, 184.97, 527.05]",0.9946,26dc41664,"(38160, 42360)"
26dc41664_11324_14542.tiff,"(596, 661)",1,183.35,255.73,361.03,420.11,"[183.35, 255.73, 361.03, 420.11]",0.9696,26dc41664,"(38160, 42360)"
26dc41664_11324_15203.tiff,"(596, 661)",0,377.5,356.51,567.73,536.09,"[377.5, 356.51, 567.73, 536.09]",0.9902,26dc41664,"(38160, 42360)"
26dc41664_11324_15203.tiff,"(596, 661)",1,0.0,15.339,132.91,171.81,"[0.0, 15.339, 132.91, 171.81]",0.99,26dc41664,"(38160, 42360)"
26dc41664_11324_15203.tiff,"(596, 661)",2,283.76,2.1811,447.91,53.736,"[283.76, 2.1811, 447.91, 53.736]",0.9324,26dc41664,"(38160, 42360)"
26dc41664_11324_15864.tiff,"(596, 661)",0,530.93,154.49,659.2,446.24,"[530.93, 154.49, 659.2, 446.24]",0.9745,26dc41664,"(38160, 42360)"
26dc41664_11324_16525.tiff,"(596, 661)",0,0.89075,205.04,120.07,447.53,"[0.89075, 205.04, 120.07, 447.53]",0.9815,26dc41664,"(38160, 42360)"
26dc41664_11920_12559.tiff,"(596, 661)",0,298.68,478.91,529.31,596.0,"[298.68, 478.91, 529.31, 596.0]",0.9907,26dc41664,"(38160, 42360)"
26dc41664_11920_13220.tiff,"(596, 661)",0,407.3697,492.3916,628.6014,593.7261,"[407.3697, 492.3916, 628.6014, 593.7261]",0.9955,26dc41664,"(38160, 42360)"
26dc41664_11920_13881.tiff,"(596, 661)",0,561.1651,483.9501,660.7639,595.7026,"[561.1651, 483.9501, 660.7639, 595.7026]",0.9815,26dc41664,"(38160, 42360)"
26dc41664_11920_14542.tiff,"(596, 661)",0,1.0371,458.6,143.8,590.92,"[1.0371, 458.6, 143.8, 590.92]",0.9947,26dc41664,"(38160, 42360)"
26dc41664_11920_15864.tiff,"(596, 661)",0,329.9,0.0,647.93,147.74,"[329.9, 0.0, 647.93, 147.74]",0.9504,26dc41664,"(38160, 42360)"
26dc41664_11920_7271.tiff,"(596, 661)",0,156.54,515.73,402.77,596.0,"[156.54, 515.73, 402.77, 596.0]",0.9442,26dc41664,"(38160, 42360)"
26dc41664_11920_9915.tiff,"(596, 661)",0,549.65,0.28409,661.0,127.09,"[549.65, 0.28409, 661.0, 127.09]",0.9055,26dc41664,"(38160, 42360)"
26dc41664_1192_3305.tiff,"(596, 661)",0,417.8389,522.7761,613.7508,595.8321,"[417.8389, 522.7761, 613.7508, 595.8321]",0.9723,26dc41664,"(38160, 42360)"
26dc41664_1192_3305.tiff,"(596, 661)",1,483.3992,13.2993,659.2526,290.3109,"[483.3992, 13.2993, 659.2526, 290.3109]",0.9599,26dc41664,"(38160, 42360)"
26dc41664_1192_3966.tiff,"(596, 661)",0,186.17,452.15,397.26,596.0,"[186.17, 452.15, 397.26, 596.0]",0.9878,26dc41664,"(38160, 42360)"
26dc41664_1192_3966.tiff,"(596, 661)",1,611.6,265.29,661.0,448.59,"[611.6, 265.29, 661.0, 448.59]",0.9563,26dc41664,"(38160, 42360)"
26dc41664_1192_3966.tiff,"(596, 661)",2,1.1417,31.665,50.9,276.08,"[1.1417, 31.665, 50.9, 276.08]",0.9368,26dc41664,"(38160, 42360)"
26dc41664_1192_4627.tiff,"(596, 661)",0,313.9789,360.0109,473.3777,574.1075,"[313.9789, 360.0109, 473.3777, 574.1075]",0.9784,26dc41664,"(38160, 42360)"
26dc41664_1192_4627.tiff,"(596, 661)",1,0.0,274.1205,79.7335,492.5856,"[0.0, 274.1205, 79.7335, 492.5856]",0.9744,26dc41664,"(38160, 42360)"
26dc41664_1192_4627.tiff,"(596, 661)",2,614.4091,314.5685,661.0,478.6493,"[614.4091, 314.5685, 661.0, 478.6493]",0.957,26dc41664,"(38160, 42360)"
26dc41664_1192_5288.tiff,"(596, 661)",0,78.238,41.99,242.28,303.53,"[78.238, 41.99, 242.28, 303.53]",0.9673,26dc41664,"(38160, 42360)"
26dc41664_1192_5288.tiff,"(596, 661)",1,2.2482,303.5,83.657,469.57,"[2.2482, 303.5, 83.657, 469.57]",0.9655,26dc41664,"(38160, 42360)"
26dc41664_12516_11237.tiff,"(596, 661)",0,218.34,421.11,400.4,581.37,"[218.34, 421.11, 400.4, 581.37]",0.9527,26dc41664,"(38160, 42360)"
26dc41664_12516_11898.tiff,"(596, 661)",0,258.26,354.86,480.29,570.04,"[258.26, 354.86, 480.29, 570.04]",0.9957,26dc41664,"(38160, 42360)"
26dc41664_12516_12559.tiff,"(596, 661)",0,198.5,130.7,428.76,332.54,"[198.5, 130.7, 428.76, 332.54]",0.9961,26dc41664,"(38160, 42360)"
26dc41664_12516_12559.tiff,"(596, 661)",1,366.91,521.0,581.41,594.77,"[366.91, 521.0, 581.41, 594.77]",0.9776,26dc41664,"(38160, 42360)"
26dc41664_12516_12559.tiff,"(596, 661)",2,271.36,0.0,521.05,127.8,"[271.36, 0.0, 521.05, 127.8]",0.973,26dc41664,"(38160, 42360)"
26dc41664_12516_13220.tiff,"(596, 661)",0,383.5606,1.0003,610.5321,158.7353,"[383.5606, 1.0003, 610.5321, 158.7353]",0.995,26dc41664,"(38160, 42360)"
26dc41664_12516_13220.tiff,"(596, 661)",1,50.9812,171.1856,303.307,388.1526,"[50.9812, 171.1856, 303.307, 388.1526]",0.993,26dc41664,"(38160, 42360)"
26dc41664_12516_13881.tiff,"(596, 661)",0,569.45,0.0,661.0,106.19,"[569.45, 0.0, 661.0, 106.19]",0.9821,26dc41664,"(38160, 42360)"
26dc41664_12516_14542.tiff,"(596, 661)",0,1.4838,0.87668,125.82,112.77,"[1.4838, 0.87668, 125.82, 112.77]",0.9874,26dc41664,"(38160, 42360)"
26dc41664_12516_14542.tiff,"(596, 661)",1,549.58,534.98,660.43,596.0,"[549.58, 534.98, 660.43, 596.0]",0.9664,26dc41664,"(38160, 42360)"
26dc41664_12516_14542.tiff,"(596, 661)",2,2.4546,279.56,139.28,460.21,"[2.4546, 279.56, 139.28, 460.21]",0.9305,26dc41664,"(38160, 42360)"
26dc41664_12516_15203.tiff,"(596, 661)",0,48.5451,332.2564,286.7852,535.6415,"[48.5451, 332.2564, 286.7852, 535.6415]",0.933,26dc41664,"(38160, 42360)"
26dc41664_13112_11237.tiff,"(596, 661)",0,101.2,27.244,348.35,244.46,"[101.2, 27.244, 348.35, 244.46]",0.9947,26dc41664,"(38160, 42360)"
26dc41664_13112_11898.tiff,"(596, 661)",0,400.36,205.74,586.38,398.22,"[400.36, 205.74, 586.38, 398.22]",0.9925,26dc41664,"(38160, 42360)"
26dc41664_13112_12559.tiff,"(596, 661)",0,236.8916,97.911,488.5431,280.6029,"[236.8916, 97.911, 488.5431, 280.6029]",0.9922,26dc41664,"(38160, 42360)"
26dc41664_13112_12559.tiff,"(596, 661)",1,349.0524,4.4097,577.9271,122.64,"[349.0524, 4.4097, 577.9271, 122.64]",0.9751,26dc41664,"(38160, 42360)"
26dc41664_13112_13881.tiff,"(596, 661)",0,458.24,2.7312,648.1,51.62,"[458.24, 2.7312, 648.1, 51.62]",0.9505,26dc41664,"(38160, 42360)"
26dc41664_13112_14542.tiff,"(596, 661)",0,123.03,174.7,351.34,393.61,"[123.03, 174.7, 351.34, 393.61]",0.9955,26dc41664,"(38160, 42360)"
26dc41664_13708_12559.tiff,"(596, 661)",0,574.873,542.9999,659.9117,596.0,"[574.873, 542.9999, 659.9117, 596.0]",0.967,26dc41664,"(38160, 42360)"
26dc41664_13708_13220.tiff,"(596, 661)",0,0.0,549.03,168.79,594.7,"[0.0, 549.03, 168.79, 594.7]",0.9665,26dc41664,"(38160, 42360)"
26dc41664_13708_13881.tiff,"(596, 661)",0,438.35,315.56,658.96,509.55,"[438.35, 315.56, 658.96, 509.55]",0.9089,26dc41664,"(38160, 42360)"
26dc41664_13708_15203.tiff,"(596, 661)",0,159.54,231.08,393.09,416.02,"[159.54, 231.08, 393.09, 416.02]",0.9662,26dc41664,"(38160, 42360)"
26dc41664_14304_12559.tiff,"(596, 661)",0,558.61,0.15959,660.43,112.14,"[558.61, 0.15959, 660.43, 112.14]",0.9875,26dc41664,"(38160, 42360)"
26dc41664_14304_1322.tiff,"(596, 661)",0,608.8304,363.507,661.0,562.9824,"[608.8304, 363.507, 661.0, 562.9824]",0.9336,26dc41664,"(38160, 42360)"
26dc41664_14304_13220.tiff,"(596, 661)",0,1.9033,1.0702,194.06,121.73,"[1.9033, 1.0702, 194.06, 121.73]",0.9911,26dc41664,"(38160, 42360)"
26dc41664_14304_13881.tiff,"(596, 661)",0,0.0,0.0,78.7791,51.3847,"[0.0, 0.0, 78.7791, 51.3847]",0.9623,26dc41664,"(38160, 42360)"
26dc41664_14900_4627.tiff,"(596, 661)",0,1.5915,559.32,52.044,596.0,"[1.5915, 559.32, 52.044, 596.0]",0.9217,26dc41664,"(38160, 42360)"
26dc41664_14900_9915.tiff,"(596, 661)",0,0.45917,0.0,125.56,34.527,"[0.45917, 0.0, 125.56, 34.527]",0.9661,26dc41664,"(38160, 42360)"
26dc41664_15496_4627.tiff,"(596, 661)",0,0.0076527,0.0,246.72,196.1,"[0.0076527, 0.0, 246.72, 196.1]",0.9817,26dc41664,"(38160, 42360)"
26dc41664_1788_3966.tiff,"(596, 661)",0,196.17,0.11042,358.83,55.495,"[196.17, 0.11042, 358.83, 55.495]",0.9719,26dc41664,"(38160, 42360)"
26dc41664_1788_4627.tiff,"(596, 661)",0,237.88,83.98,437.55,256.28,"[237.88, 83.98, 437.55, 256.28]",0.9945,26dc41664,"(38160, 42360)"
26dc41664_1788_4627.tiff,"(596, 661)",1,534.76,479.53,661.0,591.34,"[534.76, 479.53, 661.0, 591.34]",0.9803,26dc41664,"(38160, 42360)"
26dc41664_1788_5288.tiff,"(596, 661)",0,0.0,495.7,42.687,596.0,"[0.0, 495.7, 42.687, 596.0]",0.9542,26dc41664,"(38160, 42360)"
26dc41664_1788_5949.tiff,"(596, 661)",0,419.27,414.51,611.3,589.09,"[419.27, 414.51, 611.3, 589.09]",0.9824,26dc41664,"(38160, 42360)"
26dc41664_1788_6610.tiff,"(596, 661)",0,508.1,319.11,653.49,483.4,"[508.1, 319.11, 653.49, 483.4]",0.9334,26dc41664,"(38160, 42360)"
26dc41664_1788_7271.tiff,"(596, 661)",0,10.726,198.9,137.0,367.41,"[10.726, 198.9, 137.0, 367.41]",0.95,26dc41664,"(38160, 42360)"
26dc41664_1788_7932.tiff,"(596, 661)",0,535.67,388.74,654.89,551.91,"[535.67, 388.74, 654.89, 551.91]",0.9863,26dc41664,"(38160, 42360)"
26dc41664_1788_8593.tiff,"(596, 661)",0,138.04,545.92,274.25,596.0,"[138.04, 545.92, 274.25, 596.0]",0.9764,26dc41664,"(38160, 42360)"
26dc41664_1788_8593.tiff,"(596, 661)",1,533.67,512.09,660.23,593.57,"[533.67, 512.09, 660.23, 593.57]",0.9447,26dc41664,"(38160, 42360)"
26dc41664_1788_9254.tiff,"(596, 661)",0,0.0,524.31,59.59,595.44,"[0.0, 524.31, 59.59, 595.44]",0.9408,26dc41664,"(38160, 42360)"
26dc41664_1788_9915.tiff,"(596, 661)",0,13.7721,413.1072,291.1165,596.0,"[13.7721, 413.1072, 291.1165, 596.0]",0.9309,26dc41664,"(38160, 42360)"
26dc41664_2384_3305.tiff,"(596, 661)",0,2.8312,39.7466,132.6824,279.1551,"[2.8312, 39.7466, 132.6824, 279.1551]",0.9769,26dc41664,"(38160, 42360)"
26dc41664_2384_3305.tiff,"(596, 661)",1,90.463,101.6357,311.9166,315.2049,"[90.463, 101.6357, 311.9166, 315.2049]",0.9335,26dc41664,"(38160, 42360)"
26dc41664_2384_3305.tiff,"(596, 661)",2,387.1431,519.3562,558.5262,593.9396,"[387.1431, 519.3562, 558.5262, 593.9396]",0.9009,26dc41664,"(38160, 42360)"
26dc41664_2384_3966.tiff,"(596, 661)",0,5.3121,2.2647,180.22,170.76,"[5.3121, 2.2647, 180.22, 170.76]",0.9722,26dc41664,"(38160, 42360)"
26dc41664_2384_4627.tiff,"(596, 661)",0,530.58,0.28364,657.96,110.24,"[530.58, 0.28364, 657.96, 110.24]",0.9924,26dc41664,"(38160, 42360)"
26dc41664_2384_4627.tiff,"(596, 661)",1,289.23,18.043,462.06,257.51,"[289.23, 18.043, 462.06, 257.51]",0.9716,26dc41664,"(38160, 42360)"
26dc41664_2384_5288.tiff,"(596, 661)",0,0.27104,336.24,181.44,520.5,"[0.27104, 336.24, 181.44, 520.5]",0.989,26dc41664,"(38160, 42360)"
26dc41664_2384_5288.tiff,"(596, 661)",1,467.84,2.8342,656.13,134.86,"[467.84, 2.8342, 656.13, 134.86]",0.9638,26dc41664,"(38160, 42360)"
26dc41664_2384_5288.tiff,"(596, 661)",2,0.028632,0.13929,74.356,85.64,"[0.028632, 0.13929, 74.356, 85.64]",0.9097,26dc41664,"(38160, 42360)"
26dc41664_2384_6610.tiff,"(596, 661)",0,57.9269,452.9345,236.3594,592.4984,"[57.9269, 452.9345, 236.3594, 592.4984]",0.9861,26dc41664,"(38160, 42360)"
26dc41664_2384_7932.tiff,"(596, 661)",0,237.31,448.67,386.25,588.24,"[237.31, 448.67, 386.25, 588.24]",0.9437,26dc41664,"(38160, 42360)"
26dc41664_2384_7932.tiff,"(596, 661)",1,561.58,516.46,660.7,595.68,"[561.58, 516.46, 660.7, 595.68]",0.9386,26dc41664,"(38160, 42360)"
26dc41664_2384_8593.tiff,"(596, 661)",0,132.35,4.3209,293.3,195.74,"[132.35, 4.3209, 293.3, 195.74]",0.9886,26dc41664,"(38160, 42360)"
26dc41664_2384_8593.tiff,"(596, 661)",1,516.33,1.7221,661.0,148.94,"[516.33, 1.7221, 661.0, 148.94]",0.9853,26dc41664,"(38160, 42360)"
26dc41664_2384_8593.tiff,"(596, 661)",2,0.080387,454.52,103.56,595.28,"[0.080387, 454.52, 103.56, 595.28]",0.9806,26dc41664,"(38160, 42360)"
26dc41664_2384_9254.tiff,"(596, 661)",0,0.7,2.3863,87.3733,141.4623,"[0.7, 2.3863, 87.3733, 141.4623]",0.9919,26dc41664,"(38160, 42360)"
26dc41664_2384_9254.tiff,"(596, 661)",1,26.7419,296.0114,160.9811,436.3143,"[26.7419, 296.0114, 160.9811, 436.3143]",0.9491,26dc41664,"(38160, 42360)"
26dc41664_2384_9915.tiff,"(596, 661)",0,72.335,492.3905,220.1087,594.9396,"[72.335, 492.3905, 220.1087, 594.9396]",0.9675,26dc41664,"(38160, 42360)"
26dc41664_2980_10576.tiff,"(596, 661)",0,557.6827,480.0943,661.0,594.6387,"[557.6827, 480.0943, 661.0, 594.6387]",0.9918,26dc41664,"(38160, 42360)"
26dc41664_2980_11237.tiff,"(596, 661)",0,0.0,466.5124,106.5451,595.1629,"[0.0, 466.5124, 106.5451, 595.1629]",0.9934,26dc41664,"(38160, 42360)"
26dc41664_2980_11237.tiff,"(596, 661)",1,141.3421,245.075,294.9027,441.7879,"[141.3421, 245.075, 294.9027, 441.7879]",0.9653,26dc41664,"(38160, 42360)"
26dc41664_2980_2644.tiff,"(596, 661)",0,553.571,56.6208,660.4349,257.5695,"[553.571, 56.6208, 660.4349, 257.5695]",0.9544,26dc41664,"(38160, 42360)"
26dc41664_2980_3305.tiff,"(596, 661)",0,268.02,313.04,480.1,505.23,"[268.02, 313.04, 480.1, 505.23]",0.9938,26dc41664,"(38160, 42360)"
26dc41664_2980_3305.tiff,"(596, 661)",1,380.81,1.3088,570.39,100.47,"[380.81, 1.3088, 570.39, 100.47]",0.9909,26dc41664,"(38160, 42360)"
26dc41664_2980_3305.tiff,"(596, 661)",2,629.3,517.72,660.91,595.83,"[629.3, 517.72, 660.91, 595.83]",0.9019,26dc41664,"(38160, 42360)"
26dc41664_2980_4627.tiff,"(596, 661)",0,485.8147,488.6694,661.0,590.5563,"[485.8147, 488.6694, 661.0, 590.5563]",0.9776,26dc41664,"(38160, 42360)"
26dc41664_2980_5288.tiff,"(596, 661)",0,0.94055,487.04,87.285,596.0,"[0.94055, 487.04, 87.285, 596.0]",0.991,26dc41664,"(38160, 42360)"
26dc41664_2980_5288.tiff,"(596, 661)",1,512.85,269.13,654.54,474.3,"[512.85, 269.13, 654.54, 474.3]",0.9846,26dc41664,"(38160, 42360)"
26dc41664_2980_6610.tiff,"(596, 661)",0,493.6949,1.417,660.3631,183.0202,"[493.6949, 1.417, 660.3631, 183.0202]",0.9859,26dc41664,"(38160, 42360)"
26dc41664_2980_6610.tiff,"(596, 661)",1,68.6466,332.6172,238.7404,545.1481,"[68.6466, 332.6172, 238.7404, 545.1481]",0.9836,26dc41664,"(38160, 42360)"
26dc41664_2980_7271.tiff,"(596, 661)",0,1.0488,3.5528,30.573,139.96,"[1.0488, 3.5528, 30.573, 139.96]",0.9002,26dc41664,"(38160, 42360)"
26dc41664_2980_7932.tiff,"(596, 661)",0,2.8716,379.1,180.17,581.58,"[2.8716, 379.1, 180.17, 581.58]",0.9929,26dc41664,"(38160, 42360)"
26dc41664_2980_7932.tiff,"(596, 661)",1,188.11,303.49,381.16,494.54,"[188.11, 303.49, 381.16, 494.54]",0.9892,26dc41664,"(38160, 42360)"
26dc41664_2980_7932.tiff,"(596, 661)",2,569.5,0.80959,661.0,91.656,"[569.5, 0.80959, 661.0, 91.656]",0.9811,26dc41664,"(38160, 42360)"
26dc41664_2980_9254.tiff,"(596, 661)",0,414.5199,14.2302,626.253,226.2801,"[414.5199, 14.2302, 626.253, 226.2801]",0.9942,26dc41664,"(38160, 42360)"
26dc41664_2980_9254.tiff,"(596, 661)",1,135.5316,139.5769,313.984,349.8626,"[135.5316, 139.5769, 313.984, 349.8626]",0.9911,26dc41664,"(38160, 42360)"
26dc41664_2980_9254.tiff,"(596, 661)",2,558.9177,493.609,661.0,596.0,"[558.9177, 493.609, 661.0, 596.0]",0.9869,26dc41664,"(38160, 42360)"
26dc41664_2980_9915.tiff,"(596, 661)",0,67.527,148.18,236.5,335.58,"[67.527, 148.18, 236.5, 335.58]",0.9872,26dc41664,"(38160, 42360)"
26dc41664_3576_10576.tiff,"(596, 661)",0,0.0,66.956,77.325,276.62,"[0.0, 66.956, 77.325, 276.62]",0.994,26dc41664,"(38160, 42360)"
26dc41664_3576_10576.tiff,"(596, 661)",1,417.68,480.05,518.18,588.99,"[417.68, 480.05, 518.18, 588.99]",0.9242,26dc41664,"(38160, 42360)"
26dc41664_3576_11237.tiff,"(596, 661)",0,216.06,50.234,372.05,258.44,"[216.06, 50.234, 372.05, 258.44]",0.9912,26dc41664,"(38160, 42360)"
26dc41664_3576_11237.tiff,"(596, 661)",1,3.3597,414.28,179.64,590.14,"[3.3597, 414.28, 179.64, 590.14]",0.9906,26dc41664,"(38160, 42360)"
26dc41664_3576_11898.tiff,"(596, 661)",0,358.4273,168.1239,519.7717,359.0977,"[358.4273, 168.1239, 519.7717, 359.0977]",0.9866,26dc41664,"(38160, 42360)"
26dc41664_3576_12559.tiff,"(596, 661)",0,503.3035,139.8996,660.1888,368.7547,"[503.3035, 139.8996, 660.1888, 368.7547]",0.9954,26dc41664,"(38160, 42360)"
26dc41664_3576_12559.tiff,"(596, 661)",1,300.2031,402.0585,491.5797,591.83,"[300.2031, 402.0585, 491.5797, 591.83]",0.9677,26dc41664,"(38160, 42360)"
26dc41664_3576_12559.tiff,"(596, 661)",2,326.5232,204.7908,509.7635,369.4985,"[326.5232, 204.7908, 509.7635, 369.4985]",0.9561,26dc41664,"(38160, 42360)"
26dc41664_3576_13881.tiff,"(596, 661)",0,455.86,522.78,652.52,594.98,"[455.86, 522.78, 652.52, 594.98]",0.9742,26dc41664,"(38160, 42360)"
26dc41664_3576_2644.tiff,"(596, 661)",0,544.2847,1.7231,660.1187,141.2604,"[544.2847, 1.7231, 660.1187, 141.2604]",0.9084,26dc41664,"(38160, 42360)"
26dc41664_3576_3966.tiff,"(596, 661)",0,0.59741,0.70258,237.4,175.35,"[0.59741, 0.70258, 237.4, 175.35]",0.9931,26dc41664,"(38160, 42360)"
26dc41664_3576_3966.tiff,"(596, 661)",1,393.26,11.357,563.3,196.64,"[393.26, 11.357, 563.3, 196.64]",0.9898,26dc41664,"(38160, 42360)"
26dc41664_3576_4627.tiff,"(596, 661)",0,469.18,0.0,656.88,71.996,"[469.18, 0.0, 656.88, 71.996]",0.9877,26dc41664,"(38160, 42360)"
26dc41664_3576_4627.tiff,"(596, 661)",1,310.82,555.34,435.98,596.0,"[310.82, 555.34, 435.98, 596.0]",0.9692,26dc41664,"(38160, 42360)"
26dc41664_3576_5288.tiff,"(596, 661)",0,354.54,339.08,507.06,552.64,"[354.54, 339.08, 507.06, 552.64]",0.9827,26dc41664,"(38160, 42360)"
26dc41664_3576_6610.tiff,"(596, 661)",0,267.7713,44.927,459.534,243.5287,"[267.7713, 44.927, 459.534, 243.5287]",0.9945,26dc41664,"(38160, 42360)"
26dc41664_3576_6610.tiff,"(596, 661)",1,308.1671,524.4678,458.8253,593.2794,"[308.1671, 524.4678, 458.8253, 593.2794]",0.9792,26dc41664,"(38160, 42360)"
26dc41664_3576_6610.tiff,"(596, 661)",2,408.968,0.0,530.2555,34.5064,"[408.968, 0.0, 530.2555, 34.5064]",0.9102,26dc41664,"(38160, 42360)"
26dc41664_3576_7271.tiff,"(596, 661)",0,527.0497,398.0565,659.9125,588.669,"[527.0497, 398.0565, 659.9125, 588.669]",0.9975,26dc41664,"(38160, 42360)"
26dc41664_3576_7271.tiff,"(596, 661)",1,285.3794,356.6838,459.4182,514.6396,"[285.3794, 356.6838, 459.4182, 514.6396]",0.9503,26dc41664,"(38160, 42360)"
26dc41664_3576_9254.tiff,"(596, 661)",0,550.84,0.0,661.0,154.86,"[550.84, 0.0, 661.0, 154.86]",0.9806,26dc41664,"(38160, 42360)"
26dc41664_3576_9915.tiff,"(596, 661)",0,0.0,0.065029,71.577,112.88,"[0.0, 0.065029, 71.577, 112.88]",0.9947,26dc41664,"(38160, 42360)"
26dc41664_3576_9915.tiff,"(596, 661)",1,547.91,66.924,656.99,300.86,"[547.91, 66.924, 656.99, 300.86]",0.9942,26dc41664,"(38160, 42360)"
26dc41664_4172_11898.tiff,"(596, 661)",0,536.81,0.0,660.5,170.57,"[536.81, 0.0, 660.5, 170.57]",0.9713,26dc41664,"(38160, 42360)"
26dc41664_4172_13220.tiff,"(596, 661)",0,582.96,120.87,661.0,248.54,"[582.96, 120.87, 661.0, 248.54]",0.9039,26dc41664,"(38160, 42360)"
26dc41664_4172_13881.tiff,"(596, 661)",0,1.2813,72.307,128.47,267.81,"[1.2813, 72.307, 128.47, 267.81]",0.9894,26dc41664,"(38160, 42360)"
26dc41664_4172_13881.tiff,"(596, 661)",1,438.76,4.5203,612.38,155.94,"[438.76, 4.5203, 612.38, 155.94]",0.9827,26dc41664,"(38160, 42360)"
